Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal_Price,Price_Date
272,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,22-Apr-18
273,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,22-Apr-17
274,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,22-Apr-16
275,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,22-Apr-15
276,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,22-Apr-14
277,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,22-Apr-13
278,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,21-May-16
279,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,21-May-15
280,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,21-May-14
281,Bhatinda,Bhucho,Wheat,Other,FAQ,1525,1525,1525,21-Apr-19
282,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,21-Apr-17
283,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,21-Apr-16
284,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,21-Apr-15
285,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,21-Apr-14
286,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,21-Apr-13
287,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,20-May-16
288,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,20-May-15
289,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,20-May-14
290,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,20-Apr-18
291,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,20-Apr-17
292,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,20-Apr-16
293,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,20-Apr-15
294,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,20-Apr-14
295,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,20-Apr-13
296,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,19-May-18
297,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,19-May-17
298,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,19-May-15
299,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,19-May-14
300,Bhatinda,Bhucho,Wheat,Other,FAQ,1525,1525,1525,19-Apr-19
301,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,19-Apr-17
302,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,19-Apr-16
303,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,19-Apr-15
304,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,19-Apr-14
305,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,19-Apr-13
306,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,18-May-16
307,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,18-May-15
308,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,18-May-14
309,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,18-Apr-20
310,Bhatinda,Bhucho,Wheat,Other,FAQ,1525,1525,1525,18-Apr-19
311,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,18-Apr-18
312,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,18-Apr-17
313,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,18-Apr-15
314,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,18-Apr-14
315,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,18-Apr-13
316,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,17-May-17
317,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,17-May-16
318,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,17-May-15
319,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,17-May-14
320,Bhatinda,Bhucho,Wheat,Other,FAQ,1000,1000,1000,17-Mar-14
321,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,17-Feb-14
322,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,17-Apr-20
323,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,17-Apr-17
324,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,17-Apr-14
325,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,17-Apr-13
326,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,16-May-16
327,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,16-May-15
328,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,16-May-14
329,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,16-Apr-20
330,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,16-Apr-17
331,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,16-Apr-14
332,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,16-Apr-13
333,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,15-May-15
334,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,15-May-14
335,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,15-Apr-17
336,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,15-Apr-16
337,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,15-Apr-14
338,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,14-May-18
339,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,14-May-17
340,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,14-May-16
341,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,14-May-15
342,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,14-May-14
343,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,14-Feb-14
344,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,14-Apr-13
345,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,13-May-17
346,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,13-May-16
347,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,13-May-15
348,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,13-May-14
349,Bhatinda,Bhucho,Wheat,Other,FAQ,1110,1150,1110,13-Feb-14
350,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,13-Apr-20
351,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,13-Apr-13
352,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,12-May-18
353,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,12-May-17
354,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,12-May-15
355,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,12-May-14
356,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,12-Apr-16
357,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,12-Apr-13
358,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,11-May-18
359,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,11-May-17
360,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,11-May-15
361,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,11-May-14
362,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,11-Feb-14
363,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,11-Apr-20
364,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,11-Apr-16
365,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,11-Apr-13
366,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1425,1400,10-May-17
367,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,10-May-15
368,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,10-May-14
369,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,10-May-13
370,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,10-Feb-14
371,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,09-May-18
372,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1425,1400,09-May-17
373,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,09-May-15
374,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,09-May-14
375,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,09-Feb-14
376,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,09-Apr-13
377,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,08-May-18
378,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1425,1400,08-May-17
379,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,08-May-15
380,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,08-May-14
381,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,08-May-13
382,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,08-Feb-14
383,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1425,1400,07-May-17
384,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,07-May-16
385,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,07-May-15
386,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,07-May-14
387,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,07-May-13
388,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,07-Feb-14
389,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,06-May-18
390,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1425,1400,06-May-17
391,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,06-May-15
392,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,06-May-14
393,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,06-May-13
394,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,06-Feb-14
395,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,05-May-18
396,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1425,1400,05-May-17
397,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,05-May-15
398,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,05-May-14
399,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,05-May-13
400,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,04-May-18
401,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1425,1400,04-May-17
402,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,04-May-15
403,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,04-May-14
404,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,04-May-13
405,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1425,1400,03-May-17
406,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,03-May-16
407,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,03-May-15
408,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,03-May-14
409,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,03-May-13
410,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,02-May-18
411,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1450,1400,02-May-17
412,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,02-May-15
413,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,02-May-14
414,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,01-May-18
415,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1450,1400,01-May-17
416,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,01-May-14
417,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,01-May-13
418,Bhatinda,Goniana,Wheat,Other,FAQ,1400,1400,1400,25-Apr-17
419,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,25-Apr-15
420,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,24-Apr-15
421,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,23-Apr-15
422,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,22-May-15
423,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,22-Apr-15
424,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,21-May-15
425,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,21-Apr-15
426,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,20-Apr-15
427,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,19-Apr-15
428,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,18-May-15
429,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,18-Apr-15
430,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,17-May-15
431,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,17-Apr-15
432,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,16-May-15
433,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,15-May-15
434,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,14-May-15
435,Bhatinda,Goniana,Wheat,Other,FAQ,1350,1350,1350,14-Apr-16
436,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,12-May-15
437,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,11-May-15
438,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,10-May-15
439,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,09-May-15
440,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,08-May-15
441,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,29-Apr-16
442,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,27-Apr-15
443,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,26-Apr-17
444,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,26-Apr-16
445,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,25-Apr-17
446,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,24-Apr-16
447,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,23-Apr-17
448,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,22-Apr-17
449,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,22-Apr-16
450,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,20-Apr-17
451,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,20-Apr-16
452,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,19-Apr-17
453,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,18-Apr-16
454,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,16-Apr-17
455,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,11-May-16
456,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,10-May-17
457,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,09-May-17
458,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,08-May-17
459,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,07-May-17
460,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,06-May-17
461,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,05-May-17
462,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,04-May-16
463,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,02-May-17
464,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,01-May-16
465,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,30-Apr-20
466,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,30-Apr-19
467,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,30-Apr-16
468,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,30-Apr-15
469,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,30-Apr-13
470,Bhatinda,Maur,Wheat,Other,FAQ,1120,1140,1130,29-Jun-13
471,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,29-Apr-19
472,Bhatinda,Maur,Wheat,Other,FAQ,1450,1450,1450,29-Apr-18
473,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,29-Apr-17
474,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,29-Apr-16
475,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,29-Apr-15
476,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,29-Apr-13
477,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,28-May-15
478,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,28-Apr-19
479,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,28-Apr-17
480,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,28-Apr-16
481,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,28-Apr-15
482,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,28-Apr-13
483,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,27-May-17
484,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,27-May-15
485,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,27-Apr-20
486,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,27-Apr-19
487,Bhatinda,Maur,Wheat,Other,FAQ,1450,1450,1450,27-Apr-18
488,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,27-Apr-17
489,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,27-Apr-16
490,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,0,27-Apr-15
491,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,27-Apr-13
492,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,26-May-17
493,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,26-May-15
494,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,26-Apr-20
495,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,26-Apr-19
496,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,26-Apr-17
497,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,26-Apr-16
498,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,26-Apr-15
499,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,26-Apr-13
500,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,25-May-17
501,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,25-May-15
502,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,25-May-13
503,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,25-Apr-20
504,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,25-Apr-19
505,Bhatinda,Maur,Wheat,Other,FAQ,1450,1450,1450,25-Apr-18
506,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,25-Apr-16
507,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,25-Apr-15
508,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,25-Apr-13
509,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,24-May-17
510,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,24-May-15
511,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,24-Apr-20
512,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,24-Apr-19
513,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,24-Apr-17
514,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,24-Apr-16
515,Bhatinda,Maur,Wheat,Other,FAQ,1282,1285,1285,24-Apr-15
516,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,24-Apr-13
517,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,23-May-17
518,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,23-May-15
519,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,23-Apr-20
520,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,23-Apr-19
521,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,23-Apr-17
522,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,23-Apr-16
523,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,23-Apr-15
524,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,23-Apr-13
525,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,22-May-17
526,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,22-May-16
527,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,22-May-15
528,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,22-Apr-20
529,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,22-Apr-19
530,Bhatinda,Maur,Wheat,Other,FAQ,1450,1450,1450,22-Apr-18
531,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,22-Apr-16
532,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,22-Apr-15
533,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,22-Apr-13
534,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,21-May-17
535,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,21-May-16
536,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,21-May-15
537,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,21-Apr-20
538,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,21-Apr-19
539,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,21-Apr-17
540,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,21-Apr-16
541,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,21-Apr-15
542,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,21-Apr-13
543,Bhatinda,Maur,Wheat,Other,FAQ,1280,1280,1280,20-Oct-15
544,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,20-May-17
545,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,20-May-15
546,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,20-Apr-20
547,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,20-Apr-19
548,Bhatinda,Maur,Wheat,Other,FAQ,1450,1450,1450,20-Apr-18
549,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,20-Apr-17
550,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,20-Apr-16
551,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,20-Apr-13
552,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,19-May-17
553,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,19-May-16
554,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,19-May-15
555,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,19-Apr-20
556,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,19-Apr-19
557,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,19-Apr-17
558,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,19-Apr-16
559,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,19-Apr-11
560,Bhatinda,Maur,Wheat,Other,FAQ,1280,1280,1280,18-Oct-15
561,Bhatinda,Maur,Wheat,Other,FAQ,1280,1280,1280,18-Nov-15
562,Bhatinda,Maur,Wheat,Other,FAQ,1450,1450,1450,18-May-18
563,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,18-May-17
564,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,18-May-16
565,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,18-May-15
566,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,18-May-13
567,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,18-Apr-20
568,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,18-Apr-19
569,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,18-Apr-17
570,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,18-Apr-16
571,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,18-Apr-13
572,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,17-May-17
573,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,17-May-15
574,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,17-May-13
575,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,17-Apr-20
576,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,17-Apr-19
577,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,17-Apr-17
578,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,17-Apr-16
579,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,17-Apr-13
580,Bhatinda,Maur,Wheat,Other,FAQ,1450,1450,1450,16-May-18
581,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,16-May-16
582,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,16-May-15
583,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,16-May-13
584,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,16-Apr-20
585,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,16-Apr-19
586,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,16-Apr-16
587,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,16-Apr-13
