Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal_Price,Price_Date
66,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,25-Apr-17
67,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,25-Apr-15
68,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,25-Apr-14
69,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,24-Apr-20
70,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,24-Apr-18
71,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,24-Apr-17
72,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,24-Apr-16
73,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,24-Apr-15
74,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,24-Apr-14
75,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,23-Apr-20
76,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,23-Apr-18
77,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,23-Apr-17
78,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,23-Apr-16
79,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,23-Apr-15
80,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,23-Apr-14
81,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,23-Apr-13
82,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,22-Apr-20
83,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,22-Apr-19
84,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,22-Apr-16
85,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,22-Apr-15
86,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,22-Apr-14
87,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,21-Apr-20
88,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,21-Apr-19
89,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,21-Apr-16
90,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,21-Apr-15
91,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,21-Apr-14
92,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,21-Apr-13
93,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,20-Apr-20
94,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,20-Apr-19
95,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,20-Apr-17
96,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,20-Apr-14
97,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,19-Apr-20
98,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,19-Apr-19
99,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,19-Apr-16
100,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,19-Apr-14
101,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,18-May-14
102,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,18-Apr-20
103,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,18-Apr-19
104,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,18-Apr-16
105,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,18-Apr-13
106,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,17-May-13
107,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,17-Apr-20
108,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,17-Apr-16
109,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,17-Apr-13
110,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1280,1280,1280,16-Oct-15
111,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,16-Apr-16
112,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,16-Apr-13
113,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,15-Apr-20
114,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,15-Apr-19
115,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,15-Apr-13
116,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,14-Apr-20
117,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,14-Apr-13
118,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,13-May-16
119,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,13-May-14
120,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,13-May-13
121,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,13-Apr-20
122,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,12-May-13
123,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,12-Apr-20
124,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,11-May-15
