,Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
655,656,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,2020-04-06
643,644,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,2020-04-08
1252,1253,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1625,1625,1625,2020-04-11
1344,1345,Bhatinda,Rampuraphul(Mehraj),Wheat,Other,FAQ,1625,1625,1625,2020-04-12
1616,1617,Bhatinda,Sangat,Wheat,Other,FAQ,1625,1625,1625,2020-04-13
1608,1609,Bhatinda,Sangat,Wheat,Other,FAQ,1625,1625,1625,2020-04-14
948,949,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1625,1625,1625,2020-04-15
328,329,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,2020-04-16
20,21,Bhatinda,Bathinda,Wheat,Other,FAQ,1625,1625,1625,2020-04-17
188,189,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,2020-04-18
1050,1051,Bhatinda,Rampuraphul(Bhai Rupan),Wheat,Other,FAQ,1625,1625,1625,2020-04-19
545,546,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,2020-04-20
1980,1981,Bhatinda,Talwandi Sabo(Shekhupura),Wheat,Other,FAQ,1625,1625,1625,2020-04-21
527,528,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,2020-04-22
260,261,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,2020-04-23
253,254,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,2020-04-24
1971,1972,Bhatinda,Talwandi Sabo(Shekhupura),Wheat,Other,FAQ,1625,1625,1625,2020-04-25
177,178,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,2020-04-26
484,485,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,2020-04-27
1110,1111,Bhatinda,Rampuraphul(Chowke),Wheat,Other,FAQ,1625,1625,1625,2020-04-28
1474,1475,Bhatinda,Sangat,Wheat,Other,FAQ,1625,1625,1625,2020-04-29
1382,1383,Bhatinda,Rampuraphul(Nabha Mandi),Wheat,Other,FAQ,1625,1625,1625,2020-04-30
1187,1188,Bhatinda,Rampuraphul(Chowke),Wheat,Other,FAQ,1625,1625,1625,2020-05-01
1854,1855,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1625,1625,1625,2020-05-02
1686,1687,Bhatinda,Sangat,Wheat,Other,FAQ,1625,1625,1625,2020-05-03
142,143,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,2020-05-04
1672,1673,Bhatinda,Sangat,Wheat,Other,FAQ,1625,1625,1625,2020-05-05
1941,1942,Bhatinda,Talwandi Sabo(Kot Fatta),Wheat,Other,FAQ,1625,1625,1625,2020-05-06
967,968,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1625,1625,1625,2020-05-09
963,964,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1625,1625,1625,2020-05-10
1628,1629,Bhatinda,Sangat,Wheat,Other,FAQ,1625,1625,1625,2020-05-11
1619,1620,Bhatinda,Sangat,Wheat,Other,FAQ,1625,1625,1625,2020-05-12
